feature,n_values
clase,"['e', 'p']"
forma_sombrero,"['x', 'b', 's', 'f', 'k', 'c']"
superficie_sombrero,"['s', 'y', 'f', 'g']"
color_sombrero,"['y', 'w', 'g', 'n', 'e', 'p', 'b', 'u', 'c', 'r']"
magulladuras,"['t', 'f']"
olor,"['a', 'l', 'p', 'n', 'f', 'c', 'y', 's', 'm']"
union_laminas,"['f', 'a']"
espaciado_laminas,"['c', 'w']"
tamano_laminas,"['b', 'n']"
color_laminas,"['k', 'n', 'g', 'p', 'w', 'h', 'u', 'e', 'b', 'r', 'y', 'o']"
forma_tallo,"['e', 't']"
raiz_tallo,"['c', 'e', 'b', 'r', nan]"
superficie_tallo_arriba_anillo,"['s', 'f', 'k', 'y']"
superficie_tallo_abajo_anillo,"['s', 'f', 'y', 'k']"
color_tallo_arriba_anillo,"['w', 'g', 'p', 'n', 'b', 'e', 'o', 'c', 'y']"
color_tallo_abajo_anillo,"['w', 'p', 'g', 'b', 'n', 'e', 'y', 'o', 'c']"
tipo_velo,['p']
color_velo,"['w', 'n', 'o', 'y']"
numero_anillos,"['o', 't', 'n']"
tipo_anillo,"['p', 'e', 'l', 'f', 'n']"
color_esporas,"['n', 'k', 'u', 'h', 'w', 'r', 'o', 'y', 'b']"
poblacion,"['n', 's', 'a', 'v', 'y', 'c']"
habitat,"['g', 'm', 'u', 'd', 'p', 'w', 'l']"
